id,type
A2M,protein
ELANE,protein
IL6,cytokine
EGR1,protein
NCOR2,protein
IRF3,protein
APP,protein
ABL1,protein
TP53,protein
BCL6,protein
SUZ12,protein
CCL2,cytokine
ACKR1,protein
CXCL1,cytokine
CXCL8,cytokine
PF4,protein
ACKR2,protein
CCL14,cytokine
CCL3,cytokine
CCL4,cytokine
CCL5,cytokine
NFKB1,protein
YY1,protein
CCL13,cytokine
ACKR4,protein
CCL25,cytokine
CCL7,cytokine
CCL8,cytokine
SMARCA4,protein
EZH2,protein
IL7R,receptor
REL,protein
TRAF2,protein
MAPK1,protein
MAPK3,protein
STAT1,protein
STAT2,protein
IRAK1,protein
SNTA1,protein
AGO2,protein
RBM4,protein
PHF11,protein
STAT3,protein
AHR,protein
IRF1,protein
PRDM1,protein
IRF7,protein
CTNNB1,protein
CREB1,protein
NFAT5,protein
SMARCB1,protein
CASP3,protein
KHSRP,protein
ALDOA,protein
IKZF3,protein
RELB,protein
TRIM23,protein
RELA,protein
RIPK1,protein
ANXA5,protein
IFNGR2,cytokine
AP2M1,protein
IFNAR1,cytokine
IRF2,protein
CXCR1,receptor
NFATC1,protein
EP300,protein
GATA3,protein
PIK3R1,protein
TNFRSF1A,receptor
CASP1,protein
GZMB,protein
CXCR2,receptor
IKBKB,protein
ATF4,protein
ATF1,protein
FOS,protein
ATF2,protein
CREBBP,protein
IFNB1,cytokine
IFNG,cytokine
SMAD3,protein
ELAVL1,protein
HNRNPD,protein
MMP1,protein
BRCA1,protein
ZFP36,protein
NFATC4,protein
SP1,protein
TBX21,protein
RUNX1,protein
BCL3,protein
CCL11,cytokine
IFNAR2,cytokine
IL3RA,receptor
IRF4,protein
IRF8,protein
PTPN6,protein
STAT5A,protein
CMA1,protein
BGN,protein
BIRC2,protein
TNF,cytokine
HDAC3,protein
BRD4,protein
CCL18,cytokine
CTSG,protein
NR3C1,protein
GAPDH,protein
PRTN3,protein
CSNK2A1,protein
IL37,cytokine
CASP4,protein
CASP5,protein
IL33,cytokine
CASP7,protein
IRF5,protein
TRADD,protein
CCR8,receptor
CCL1,cytokine
CCR2,receptor
CCR3,receptor
CCR5,receptor
PPARG,protein
MMP12,protein
JUN,protein
CCL16,cytokine
CCR4,receptor
CCL17,cytokine
EEF1A1,protein
TLE1,protein
CCL22,cytokine
CCR10,receptor
CCR7,receptor
CCRL2,protein
CCL19,cytokine
CCR1,receptor
KLF6,protein
VCAN,protein
CCL20,cytokine
CTSB,protein
CTSD,protein
CCL23,cytokine
CCL24,cytokine
CCL26,cytokine
CEBPB,protein
POLR2F,protein
PIGR,protein
MMP2,protein
SKP2,protein
JUND,protein
CXCR4,receptor
CD4,receptor
HSPA8,protein
IL4R,receptor
EGR3,protein
NFATC2,protein
CD9,receptor
CDC34,protein
CHUK,protein
CDK1,protein
IL16,cytokine
NFKB2,protein
CSF2RB,protein
CSF3,cytokine
GABPA,protein
IL18BP,protein
IL4,cytokine
MMP13,protein
PRG2,protein
CRP,protein
MAFB,protein
CEBPG,protein
CTCF,protein
CSF2RA,protein
ETS1,protein
IL2RB,receptor
IFNA1,cytokine
RBPJ,protein
IL1RAPL1,receptor
IL2,cytokine
CSF2,cytokine
CREM,protein
SPI1,protein
HNRNPC,protein
SDC2,protein
HNRNPA2B1,protein
GNB2L1,protein
CX3CR1,protein
CXCL10,cytokine
PIAS1,protein
CXCL11,cytokine
CXCL2,cytokine
CXCL3,cytokine
CXCL5,cytokine
CXCL6,cytokine
CXCL9,cytokine
NFATC3,protein
PCBP2,protein
DPP4,protein
ILF3,protein
MAPK14,protein
EFEMP2,protein
FOSL2,protein
IL15,cytokine
IL27,cytokine
TCF7,protein
EGR4,protein
HDAC1,protein
TYK2,protein
HNRNPA0,protein
MSN,protein
ELF4,protein
EMG1,protein
TRIP6,protein
USHBP1,protein
VCAM1,protein
FBXW11,protein
GABPB1,protein
FOSL1,protein
POLR2A,protein
IL13,cytokine
G3BP1,protein
IL2RA,receptor
